RowNumber,Hatespeech,ResponseText,TrueLabel,PredictedLabel,Status,Reason
2,A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).,waiting for the facts is the last thing on their minds,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
3,Islam oppresses and persecutes gay and women.,i have a pretty big physics problem that has perplexed me my whole life the closest supermarket from where i live is 500 meters roughly and it takes me 12 minutes to walk there and back at a walking speed of 5 kph 3 mph the problem is it has taken my father 18 years to make this trip and i want to know how this strange phenomenon has occurred,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
4,Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,Are you sure? 12 Muslim Nobel prize winners would suggest otherwise.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
5,"It is obviously a mental illness, the conciliation to Islam and Muslims.",ndt you cant get crazier than quantum mechanics my girlfriend hold my beer,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
6,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,when is this man gonna get sponsored by sprite already,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
7,"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!","Even if people follow Sharia Law, it does not mean that country has to accept it officially.",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
8,Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,“math was never my strong point” is the most relatable thing chris has said,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
9,"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",this is such a valuable video you learn so much on youtube compared to many actual classes in a classroom this video makes everything that much clearer for the common person,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
10,Muslims have no place in civilised Europe.,There are centuries old Islamic communities in Europe.,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
11,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",Evidence?,1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
12,The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!,hi could you try to make a video in french its my language thanks in advance and keep up the good work ps your videos are very relaxing,0,0,Correct,OK (Detected NORMAL in 'NORMAL')
13,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.","You make it sound like the 'Necromonicon'. Besides, isn't 'money the root of all evil'?",1,1,Correct,OK (Detected COUNTERSPEECH in 'COUNTERSPEECH')
